id,name,latitude,longitude
30387,Salado Rest Area,30.913014,-97.5525
30388,Natalia Rest Area,29.199036,-98.824765
30389,Cotulla Rest Area,28.324172,-99.276592
30390,Whitsett Rest Area,28.649351,-98.242604
30391,Coloma Rest Area,43.977697,-89.501957
30392,Poynette Rest Area,43.428869,-89.483297
30393,Janesville Rest Area,42.768654,-89.006713
30394,South Beloit Welcome Center,42.480351,-88.997208
30395,Paw Paw Rest Area,41.727615,-89.011294
30396,Lomira Rest Area,43.561315,-88.431479
30397,Denmark Rest Area,44.318123,-87.815171
30398,Elkhorn Rest Area,42.733357,-88.460941
30399,Richland Rest Area,31.911008,-96.396316
30400,Huntsville Rest Area,30.781106,-95.660652
30401,Pontiac Rest Area,40.837205,-88.682977
30402,McLean Rest Area,40.359574,-89.109688
30403,Sherman Rest Area,39.887194,-89.596775
30404,Waggoner Rest Area,39.352053,-89.644478
30405,Edwardsville Rest Area,38.872308,-89.851252
30406,Jackson Rest Area,37.491184,-89.673714
30407,Marston Rest Area,36.538093,-89.594151
30408,Blytheville Welcome Center,35.942114,-89.875249
30409,Hernando Welcome Center,34.806646,-89.970364
30410,Courtland Rest Area,34.253686,-89.928086
30411,Vaiden Rest Area,33.305258,-89.784028
30412,Wesson Rest Area,31.771082,-90.434894
30413,Kentwood Welcome Center,30.983276,-90.509794
30414,Monee Welcome Center,41.391672,-87.774531
30415,Loda Rest Area,40.561054,-88.061108
30416,Pesotum Rest Area,39.931331,-88.304684
30417,Effingham Rest Area,39.199069,-88.50173
30418,Salem Rest Area,38.596393,-88.967274
30419,Whittington Rest Area,38.094853,-88.913633
30420,Anna Rest Area,37.46924,-89.133393
30421,Valley Head Welcome Center,34.707879,-85.560415
30422,Ashville Rest Area,33.873184,-86.2715
30423,Cottondale Rest Area,33.190672,-87.325045
30424,Eutaw Rest Area,32.857756,-87.940912
30425,Toomsuba Welcome Center,32.411098,-88.534524
30426,Pearl River Welcome Center,30.322244,-89.738452
30427,Roselawn Rest Area,41.167215,-87.274723
30428,Wolcott Rest Area,40.698762,-87.064619
30429,Lebanon Rest Area,40.17247,-86.552446
30430,Columbus Rest Area,39.277381,-85.957001
30431,Henryville Rest Area,38.586013,-85.780837
30432,Shepherdsville Welcome Center,37.946615,-85.690068
30433,Munfordville Rest Area,37.238903,-85.929052
30434,Mitchellville Welcome Center,36.63555,-86.573105
30435,Ardmore Welcome Center,34.953845,-86.892363
