id,name,parking,reserved,fee,latitude,longitude
12832,oakfield irving,104,False,False,46.113666,-68.159223
12833,princeton irving,10,False,False,45.222113,-67.569276
12834,princeton on the run,0,False,False,45.221034,-67.56741
12835,richmond exit 43 quik stop,3,False,False,44.098592,-69.865053
12836,scarborough irving,10,False,False,43.584275,-70.361668
12837,searsport maritime farms,0,False,False,44.463366,-68.904163
12838,sherman circle k irving big stop,0,False,False,45.874184,-68.416215
12839,turner citgo,0,False,False,44.195851,-70.241906
12840,turner murrays truck stop,5,False,False,44.270444,-70.268554
12841,warren andys variety,6,False,False,44.111517,-69.254381
12842,adrian five star fuel stop,3,False,False,41.905532,-84.079038
12843,alma m-46 travel center,0,False,False,43.408617,-84.654314
12844,almont mobil x,8,False,False,42.949245,-83.055846
12845,alpena citgo,0,False,False,45.089653,-83.45799
12846,alpena mi stop,25,False,False,45.090385,-83.458253
12847,ann arbor ta travel center,25,False,False,42.29629898,-83.87640381
12848,baraga bp,0,False,False,46.777752,-88.487003
12849,baraga marathon,200,False,True,46.777963,-88.487577
12850,baraga the pines convenience center,29,False,False,46.796167,-88.472981
12851,battle creek arlenes truck stop,8,False,False,42.279178,-85.286852
12852,battle creek interstate auto and truck,0,False,False,42.300688,-85.081768
12853,battle creek pilot travel center,5,False,False,42.302381,-85.081751
12854,battle creek ta travel center,2,False,False,42.302476,-85.08067
12855,battle creek te-khi travel court,10,False,False,42.302088,-85.081538
12856,bay city fast pax,6,False,False,0,0
12857,bay city speedway,4,False,False,43.623414,-83.905002
12858,belleville mobil travel center and truck plaza,80,False,False,42.2493,-83.4449
12859,benton harbor benton harbor,80,False,False,42.077597,-86.417161
12860,benton harbor benton harbor,15,False,False,42.116661,-86.451031
12861,benton harbor pilot travel center,25,False,False,42.090628,-86.412624
12862,bessemer stempihar(bp),0,False,False,46.481233,-90.050881
12863,big rapids quick-sav #18,5,False,False,43.743096,-85.504555
12864,birch run conley travel center,5,False,False,43.249471,-83.771604
12865,bridgeport speedway,3,False,False,43.348611,-83.859275
12866,brownstown sonoco plaza,4,False,False,42.170715,-83.246423
12867,brownstown township tel west fil up(citgo),0,False,False,42.138087,-83.266545
12868,bruce crossing cenex,0,False,False,46.535189,-89.178343
12869,burton speedway,100,False,False,42.974122,-83.67542
12870,byron center 76th street auto truck plaza,10,False,False,42.82575,-85.675549
12871,byron center byron petroleum,6,False,False,42.782684,-85.666146
12872,cadillac beacon and bridge market,2,False,False,44.202128,-85.406989
12873,canton canton petroleum,20,False,False,42.278527,-83.44821
12874,capac loves travel stop,130,False,False,42.989169,-82.928828
12875,capac sunrise store,22,False,False,42.98976,-82.92576
12876,casco 32 mile pitstop,0,False,False,42.8099,-82.724056
12877,casco fred moore bp,60,False,False,42.813394,-82.624375
12878,cedar river cedar river shell plaza,5,False,False,45.409741,-87.356875
12879,cedar springs speedway,15,False,False,43.219854,-85.569026
