id,name,parking,reserved,fee,latitude,longitude,type
1730,bloomington farmtown fuel 24,34,False,False,40.453255,-88.967749,1
1731,bloomington pilot travel center,0,False,False,40.483515,-89.018277,0
1732,bloomington ta travel center,0,False,False,40.48799896,-89.02619934,0
1733,"bolingbrook greater chicago i-55 autotruck
plaza 66",25,False,False,41.683695,-88.067593,1
1734,bolingbrook speedway,0,False,False,41.680844,-88.068524,0
1735,bridgeport k b js,20,False,False,38.72922,-87.759287,1
1736,bridgeview bridgeview park,0,False,False,41.763952,-87.80115,0
1737,bridgeview pilot travel center,10,False,False,41.754986,-87.799784,1
1738,bunker hill bunker hill short stop,25,False,True,39.036535,-89.951478,1
1739,burbank speedway,50,False,False,41.748506,-87.799156,1
1740,burnt prairie chuckwagon charlies,3,False,False,38.249778,-88.233699,0
1741,bushnell uselton gas station,20,False,False,40.5487,-90.504426,1
1742,carol stream pilot travel center,20,False,False,41.903283,-88.121978,1
1743,carterville hucks,10,False,False,37.745849,-89.09676,1
1744,centralia biggies cafe and general store,2,False,False,38.519396,-88.966159,0
1745,champaign road ranger,5,False,False,40.177562,-88.240299,0
1746,champaign super pantry,10,False,False,40.15868881,-88.27616572,1
1747,channahon pilot travel center,4,False,False,41.458126,-88.191917,0
1748,channahon thorntons,215,True,False,41.454915,-88.19826,1
1749,chenoa chenoa travel plaza,0,False,False,40.741487,-88.726826,0
1750,chicago bp connect,0,False,False,41.807389,-87.762152,0
1751,chicago road ranger,10,False,False,41.831456,-87.694784,1
1752,chicago thorntons,10,False,False,41.830756,-87.69541,1
1753,chicago tulsa power service,50,False,False,41.82169,-87.665652,1
1754,chicago north ta travel center,60,False,False,42.4856987,-87.9509964,1
1755,cicero speedway,0,False,False,41.833849,-87.744259,0
1756,cicero tuxedo junction,4,False,False,41.82471,-87.743659,0
1757,cissna park lukes one stop,40,False,False,40.569452,-87.893328,1
1758,crest hill speedway,15,False,False,41.573024,-88.120957,1
1759,dahlgren hamsons trading post,0,False,False,38.18882,-88.66811,0
1760,danville danville marathon,50,False,False,40.134019,-87.550971,1
1761,decatur loves travel stop,39,False,False,39.892676,-89.00304,1
1762,decatur pilot travel center,6,False,False,39.906612,-88.896029,1
1763,decatur road ranger,0,False,False,39.869081,-88.926999,0
1764,decatur thorntons,30,False,False,39.877055,-88.932487,1
1765,dekalb dekalb oasis,25,False,False,41.900392,-88.739308,1
1766,des plaines des plaines oasis,90,False,False,42.014324,-87.927349,1
1767,des plaines speedway,200,False,False,42.008805,-87.901176,1
1768,divernon auburn travel center,3,False,False,39.591171,-89.653501,0
1769,dixon road ranger,0,False,False,41.822159,-89.473971,0
1770,downs downs travel mart,180,False,False,40.3927523,-88.8727855,1
1771,dunlap usco gas station,25,False,False,40.861614,-89.678108,1
1772,dwight circle k,0,False,False,41.094998,-88.444486,0
1773,dwight circle k,212,True,False,41.111906,-88.413003,1
1774,dwight loves travel stop,100,False,False,41.112477,-88.413684,1
1775,east st louis pilot travel center,0,False,False,38.651517,-90.131557,0
1776,edwards freedom oil,137,True,False,40.776308,-89.752217,1
1777,effingham fast stop,2,False,False,39.118496,-88.5375,0
1778,effingham flying j travel plaza,92,True,False,39.11919,-88.562572,1
1779,- brake service,0,False,False,39.133746,-88.566367,0
1780,effingham mach 1 food stop,0,False,False,39.160176,-88.613717,0
1781,effingham petro center,100,False,False,39.119643,-88.572251,1
1782,effingham pilot travel center,0,False,False,39.149141,-88.531094,0
1783,effingham speedway,15,False,False,39.120903,-88.558323,1
1784,effingham ta travel center,10,False,False,39.13639832,-88.56620026,1
1785,el paso el paso shell fast n fresh,0,False,False,40.736299,-89.028482,0
1786,elgin ta travel center,3,False,False,42.14509964,-88.5094986,0
1787,elizabeth eagles roost,5,False,False,42.324921,-90.267004,0
1788,elwood food and fuel,6,False,False,41.443592,-88.145266,1
1789,farina jack flash,20,False,False,38.83892,-88.7809,1
1790,farmer city caseys,150,False,False,40.241127,-88.63276,1
1791,farmer city hucks farmer city,8,False,False,40.24378,-88.631708,1
1792,farmersville jumpin jimmys,120,False,False,39.445207,-89.648737,1
1793,flora comfort pro(fast stop),0,False,False,38.67154,-88.455379,0
1794,flora mach 1 food shop 17,80,False,False,38.679926,-88.489661,1
1795,frankfort speedway,100,False,False,41.530849,-87.791125,1
1796,frankfort speedway,80,False,False,41.483655,-87.875008,1
1797,franklin park mannheim gas and mini mart,8,False,False,41.923622,-87.883925,1
1798,franklin park thorntons,0,False,False,41.926723,-87.885046,0
1799,galesburg the junction / phillips 66,65,False,False,40.917809,-90.306544,1
1800,geneseo becks convenience store,92,False,False,41.432615,-90.157964,1
1801,gibson city fast stop,90,False,False,40.456559,-88.381094,1
1802,gilman freds fuel n food,8,False,False,40.752281,-87.998932,1
1803,gilman gilman truck stop,0,False,False,40.769937,-87.863331,0
1804,gilman k&h truck raza,100,False,False,40.752241,-87.995945,1
1805,gilman kandh truck plaza,50,False,False,40.753016,-87.996741,1
1806,gilman pilot travel center,20,False,False,40.751544,-88.002883,1
1807,goodfield freedom gil 77,30,False,False,40.62782,-89.275031,1
1808,grayville ricks service,10,False,False,38.259196,-87.996267,1
1809,grayville road ranger,0,False,False,38.23936,-87.999009,0
1810,greenup loves travel stop,0,False,False,39.253466,-88.153344,0
1811,greenville loves travel stop,25,False,False,38.874469,-89.38871,1
1812,gurnee gurnee truck stop,0,False,False,42.395873,-87.927821,0
1813,gurnee gurnee truck stop,0,False,False,42.396021,-87.928909,0
1814,hamel loves travel stop,0,False,False,38.890265,-89.834391,0
1815,hampshire arrowhead travel plaza,0,False,False,42.146204,-88.509031,0
1816,hampshire i-90/20 mobile stop,5,False,False,42.149457,-88.511266,0
1817,hampshire loves travel stop,50,False,False,42.148993,-88.513686,1
1818,hampshire road ranger,15,False,False,42.148731,-88.511914,1
1819,hampshire speedway,120,False,False,42.147844,-88.509911,1
1820,hampshire starks corner,25,False,False,42.088602,-88.457192,1
1821,harrisburg harrisburg fuel 24,65,False,False,37.723264,-88.540278,1
1822,harrisburg mitchellsville country store,20,False,False,37.643776,-88.532928,1
1823,hartford road ranger,50,False,False,38.814049,-90.097939,1
1824,havana extra mile truck stop,15,False,False,40.296935,-90.053683,1
1825,havana thorntons,90,False,False,40.294062,-90.065275,1
1826,henry henry fast stop,10,False,False,41.118692,-89.369616,1
1827,herrick herrick fast stop,94,False,False,39.217757,-88.984771,1
1828,heyworth hucks travel plaza,20,False,False,40.312552,-88.985245,1
1829,hillsdale express lane,0,False,False,41.613003,-90.187797,0
1830,hinsdale hinsdale oasis,2,False,False,41.782921,-87.906959,0
1831,ina loves travel stop,15,False,False,38.155469,-88.910841,1
1832,jacksonville hannels truck stop,12,False,False,39.722954,-90.273118,1
1833,jacksonville loves travel stop,186,False,False,39.690147,-90.230425,1
1834,joliet food n fuel,50,False,False,41.480387,-88.080643,1
1835,joliet pilot travel center,90,False,False,41.480377,-88.079113,1
1836,joliet rockdale citgo,10,False,False,41.504363,-88.124953,1
1837,kankakee loves travel stop,20,False,False,41.074324,-87.8683,1
1838,kankakee speedway,100,False,False,41.078727,-87.868222,1
1839,knoxville loves travel stop,75,False,False,40.919117,-90.29352,1
1840,knoxville tri power bp,0,False,False,40.91922,-90.295214,0
1841,la grange compass gas incorporated,0,False,False,41.80283,-87.824739,0
1842,lacon lacon shell fast n fresh,1,False,False,41.024074,-89.395129,0
